fraksiya,t,vx,vy,vz,x,y,z
PM2.5,5.625000,5.000000,0.000000,-0.000282,28.1256,0.0000,19.9984
PM2.5,5.700000,5.000000,0.000000,-0.000282,28.5006,0.0000,19.9984
PM2.5,5.775000,5.000000,0.000000,-0.000282,28.8756,0.0000,19.9984
PM2.5,5.850000,5.000000,0.000000,-0.000282,29.2506,0.0000,19.9984
PM2.5,5.925000,5.000000,0.000000,-0.000282,29.6256,0.0000,19.9983
PM2.5,6.000000,5.000000,0.000000,-0.000282,30.0006,0.0000,19.9983
PM2.5,6.075000,5.000000,0.000000,-0.000282,30.3756,0.0000,19.9983
PM2.5,6.150000,5.000000,0.000000,-0.000282,30.7506,0.0000,19.9983
PM2.5,6.225000,5.000000,0.000000,-0.000282,31.1256,0.0000,19.9982
PM2.5,6.300000,5.000000,0.000000,-0.000282,31.5006,0.0000,19.9982
PM2.5,6.375000,5.000000,0.000000,-0.000282,31.8756,0.0000,19.9982
PM2.5,6.450000,5.000000,0.000000,-0.000282,32.2506,0.0000,19.9982
PM2.5,6.525000,5.000000,0.000000,-0.000282,32.6256,0.0000,19.9982
PM2.5,6.600000,5.000000,0.000000,-0.000282,33.0006,0.0000,19.9981
PM2.5,6.675000,5.000000,0.000000,-0.000282,33.3756,0.0000,19.9981
PM2.5,6.750000,5.000000,0.000000,-0.000282,33.7506,0.0000,19.9981
PM2.5,6.825000,5.000000,0.000000,-0.000282,34.1256,0.0000,19.9981
PM2.5,6.900000,5.000000,0.000000,-0.000282,34.5006,0.0000,19.9981
PM2.5,6.975000,5.000000,0.000000,-0.000282,34.8756,0.0000,19.9980
PM2.5,7.050000,5.000000,0.000000,-0.000282,35.2506,0.0000,19.9980
PM2.5,7.125000,5.000000,0.000000,-0.000282,35.6256,0.0000,19.9980
PM2.5,7.200000,5.000000,0.000000,-0.000282,36.0006,0.0000,19.9980
PM2.5,7.275000,5.000000,0.000000,-0.000282,36.3756,0.0000,19.9980
PM2.5,7.350000,5.000000,0.000000,-0.000282,36.7506,0.0000,19.9979
